# THRESHOLD FILE
# seed = 3343339796
# use_adaptive_lr
# rho = 0.001000
# momentum = 0.900000
# delay_length = 1
# lambda = 1.000000
# alpha = 0.000000
# truncate_length = 0
# block_length = 5
# divide_num = 2
# lyapunov_spectrum_size = 1
# threshold_period = 1e-06
# in_state_size = 2
# c_state_size = 20
# out_state_size = 2
# rep_init_size = 1
# output_type = STANDARD_TYPE
# target_num = 1
# target 0	length = 97
# prior_strength = 0.194000
# rep_init_variance = 1.000000
# const_init_c[0] = 0
# const_init_c[1] = 0
# const_init_c[2] = 0
# const_init_c[3] = 0
# const_init_c[4] = 0
# const_init_c[5] = 0
# const_init_c[6] = 0
# const_init_c[7] = 0
# const_init_c[8] = 0
# const_init_c[9] = 0
# const_init_c[10] = 0
# const_init_c[11] = 0
# const_init_c[12] = 0
# const_init_c[13] = 0
# const_init_c[14] = 0
# const_init_c[15] = 0
# const_init_c[16] = 0
# const_init_c[17] = 0
# const_init_c[18] = 0
# const_init_c[19] = 0
# connection_weight_ci[0] = (0,2)
# connection_weight_ci[1] = (0,2)
# connection_weight_ci[2] = (0,2)
# connection_weight_ci[3] = (0,2)
# connection_weight_ci[4] = (0,2)
# connection_weight_ci[5] = (0,2)
# connection_weight_ci[6] = (0,2)
# connection_weight_ci[7] = (0,2)
# connection_weight_ci[8] = (0,2)
# connection_weight_ci[9] = (0,2)
# connection_weight_ci[10] = (0,2)
# connection_weight_ci[11] = (0,2)
# connection_weight_ci[12] = (0,2)
# connection_weight_ci[13] = (0,2)
# connection_weight_ci[14] = (0,2)
# connection_weight_ci[15] = (0,2)
# connection_weight_ci[16] = (0,2)
# connection_weight_ci[17] = (0,2)
# connection_weight_ci[18] = (0,2)
# connection_weight_ci[19] = (0,2)
# connection_weight_cc[0] = (0,20)
# connection_weight_cc[1] = (0,20)
# connection_weight_cc[2] = (0,20)
# connection_weight_cc[3] = (0,20)
# connection_weight_cc[4] = (0,20)
# connection_weight_cc[5] = (0,20)
# connection_weight_cc[6] = (0,20)
# connection_weight_cc[7] = (0,20)
# connection_weight_cc[8] = (0,20)
# connection_weight_cc[9] = (0,20)
# connection_weight_cc[10] = (0,20)
# connection_weight_cc[11] = (0,20)
# connection_weight_cc[12] = (0,20)
# connection_weight_cc[13] = (0,20)
# connection_weight_cc[14] = (0,20)
# connection_weight_cc[15] = (0,20)
# connection_weight_cc[16] = (0,20)
# connection_weight_cc[17] = (0,20)
# connection_weight_cc[18] = (0,20)
# connection_weight_cc[19] = (0,20)
# connection_weight_oc[0] = (0,20)
# connection_weight_oc[1] = (0,20)
1100	-1.037058	-0.330813	-0.059033	-0.716607	-0.658913	1.005583	-0.269936	1.024366	0.455755	-0.117983	0.859052	-0.294955	-0.629404	0.933632	-1.020152	-0.038324	1.108518	-0.928476	-0.864802	-0.462840	0.032795	-0.519782
1200	-1.037612	-0.331244	-0.059215	-0.717529	-0.659592	1.006269	-0.268575	1.025117	0.455775	-0.117999	0.859388	-0.295957	-0.630054	0.934199	-1.020616	-0.038117	1.109234	-0.929428	-0.865263	-0.461052	0.029249	-0.520302
1300	-1.038053	-0.331347	-0.059316	-0.718262	-0.660166	1.006778	-0.267039	1.025719	0.455531	-0.117495	0.859870	-0.296804	-0.630703	0.934651	-1.020975	-0.038135	1.109808	-0.930173	-0.865571	-0.459336	0.027522	-0.520349
1400	-1.038556	-0.331546	-0.059353	-0.719073	-0.660842	1.007387	-0.265613	1.026408	0.455374	-0.117252	0.860715	-0.297778	-0.631576	0.935155	-1.021396	-0.038396	1.110446	-0.930969	-0.865946	-0.457566	0.025889	-0.520367
1500	-1.038915	-0.331915	-0.059401	-0.719653	-0.661334	1.007878	-0.265314	1.026911	0.455483	-0.117810	0.861385	-0.298433	-0.632237	0.935510	-1.021710	-0.038823	1.110886	-0.931505	-0.866235	-0.456766	0.023775	-0.520490
1600	-1.039369	-0.332276	-0.059387	-0.720349	-0.661969	1.008478	-0.264439	1.027530	0.455540	-0.117837	0.862553	-0.299318	-0.633191	0.935953	-1.022100	-0.039410	1.111440	-0.932174	-0.866590	-0.455349	0.022542	-0.520349
1700	-1.039786	-0.332669	-0.059372	-0.720966	-0.662561	1.009041	-0.263679	1.028091	0.455676	-0.117810	0.863808	-0.300135	-0.634135	0.936363	-1.022460	-0.040012	1.111937	-0.932770	-0.866929	-0.453983	0.021617	-0.520153
1800	-1.040187	-0.333013	-0.059308	-0.721537	-0.663141	1.009570	-0.262696	1.028617	0.455803	-0.117388	0.865182	-0.300940	-0.635104	0.936768	-1.022801	-0.040574	1.112408	-0.933333	-0.867260	-0.452404	0.021348	-0.519885
1900	-1.040531	-0.333391	-0.059306	-0.722029	-0.663654	1.010040	-0.262162	1.029074	0.456001	-0.117334	0.866403	-0.301611	-0.635963	0.937135	-1.023099	-0.041125	1.112800	-0.933800	-0.867558	-0.451176	0.020464	-0.519687
2000	-1.040864	-0.333742	-0.059282	-0.722490	-0.664155	1.010485	-0.261440	1.029508	0.456223	-0.116991	0.867675	-0.302277	-0.636826	0.937504	-1.023388	-0.041490	1.113177	-0.934244	-0.867870	-0.449795	0.020012	-0.519516
